,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
102,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
103,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
104,0,1,27,1,1,0,1.009877144,71352,436,0.377806286
105,0,0,30,2,1,0,1.009877144,71352,436,0.377806286
106,1,0,1,1,1,1,1.0,1,1,1.0
107,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
108,0,1,50,2,0,1,1.009877144,71352,436,0.377806286
109,0,1,65,1,0,1,1.009877144,71352,436,0.377806286
110,1,1,25,2,0,1,1.009877144,71352,436,0.377806286
111,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
112,0,1,35,1,1,0,1.009877144,71352,436,0.377806286
113,1,0,1,1,1,1,1.0,1,1,1.0
114,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
115,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
116,0,0,35,1,0,1,1.009877144,71352,436,0.377806286
117,1,0,40,1,1,0,1.009877144,71352,436,0.377806286
118,1,0,30,1,1,0,1.009877144,71352,436,0.377806286
119,0,1,40,2,0,1,1.009877144,71352,436,0.377806286
120,0,1,65,1,0,1,1.009877144,71352,436,0.377806286
121,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
122,0,1,40,2,0,1,1.009877144,71352,436,0.377806286
123,0,1,30,1,1,1,1.009877144,71352,436,0.377806286
124,0,0,45,1,0,1,1.009877144,71352,436,0.377806286
125,0,0,50,1,0,1,1.009877144,71352,436,0.377806286
126,0,0,70,2,0,1,1.009877144,71352,436,0.377806286
127,1,0,70,2,0,1,1.009877144,71352,436,0.377806286
128,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
129,0,1,40,1,0,0,1.009877144,71352,436,0.377806286
130,0,1,25,1,0,1,1.009877144,71352,436,0.377806286
131,0,0,30,1,0,1,1.009877144,71352,436,0.377806286
132,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
133,0,0,39,1,1,0,1.009877144,71352,436,0.377806286
134,0,0,25,2,1,0,1.009877144,71352,436,0.377806286
135,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
136,0,1,35,2,1,0,1.009877144,71352,436,0.377806286
137,1,0,1,1,1,1,1.0,1,1,1.0
138,0,0,39,1,1,0,1.009877144,71352,436,0.377806286
139,1,0,1,1,1,1,1.0,1,1,1.0
140,0,0,30,2,1,0,1.009877144,71352,436,0.377806286
141,1,1,30,2,0,1,1.009877144,71352,436,0.377806286
142,1,1,20,1,1,1,1.009877144,71352,436,0.377806286
143,0,1,45,1,0,1,1.009877144,71352,436,0.377806286
144,0,0,45,1,0,1,1.009877144,71352,436,0.377806286
145,1,1,50,1,0,1,1.009877144,71352,436,0.377806286
146,0,1,55,1,1,0,1.009877144,71352,436,0.377806286
147,1,0,1,1,1,1,1.0,1,1,1.0
148,0,1,26,1,1,0,1.009877144,71352,436,0.377806286
149,1,0,1,1,1,1,1.0,1,1,1.0
150,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
151,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
152,0,0,30,2,1,0,1.009877144,71352,436,0.377806286
153,0,1,23,1,1,0,1.009877144,71352,436,0.377806286
154,0,0,85,1,0,1,1.009877144,71352,436,0.377806286
155,0,0,30,2,0,1,1.009877144,71352,436,0.377806286
156,0,1,35,2,0,0,1.009877144,71352,436,0.377806286
157,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
158,0,1,60,1,0,1,1.009877144,71352,436,0.377806286
159,0,1,45,2,1,0,1.009877144,71352,436,0.377806286
160,0,0,30,2,0,1,1.009877144,71352,436,0.377806286
161,0,1,40,1,0,1,1.009877144,71352,436,0.377806286
162,0,0,40,1,1,1,1.009877144,71352,436,0.377806286
163,0,0,30,2,0,1,1.009877144,71352,436,0.377806286
164,0,1,30,1,1,0,1.009877144,71352,436,0.377806286
165,0,1,35,1,1,0,1.009877144,71352,436,0.377806286
166,0,0,55,1,1,1,1.009877144,71352,436,0.377806286
167,0,0,25,2,1,1,1.009877144,71352,436,0.377806286
168,1,1,35,1,0,1,1.009877144,71352,436,0.377806286
169,0,1,55,2,0,0,1.009877144,71352,436,0.377806286
170,0,0,60,1,1,0,1.009877144,71352,436,0.377806286
171,0,0,45,2,0,1,1.009877144,71352,436,0.377806286
172,1,0,1,1,1,1,1.0,1,1,1.0
173,0,1,30,1,0,1,1.009877144,71352,436,0.377806286
174,0,1,25,2,0,0,1.009877144,71352,436,0.377806286
175,0,1,35,1,0,0,1.009877144,71352,436,0.377806286
176,0,1,50,1,1,0,1.009877144,71352,436,0.377806286
177,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
178,0,1,35,2,0,1,1.009877144,71352,436,0.377806286
179,0,0,20,1,0,1,1.009877144,71352,436,0.377806286
180,0,0,30,1,1,0,1.009877144,71352,436,0.377806286
181,1,0,1,1,1,1,1.0,1,1,1.0
182,0,0,40,1,0,1,1.009877144,71352,436,0.377806286
183,0,0,35,1,1,0,1.009877144,71352,436,0.377806286
184,1,0,1,1,1,1,1.0,1,1,1.0
185,1,1,35,2,0,0,1.009877144,71352,436,0.377806286
186,0,0,33,1,1,0,1.009877144,71352,436,0.377806286
188,1,1,35,1,0,0,1.009877144,71352,436,0.377806286
189,0,1,18,1,1,0,1.009877144,71352,436,0.377806286
190,0,0,28,1,0,1,1.009877144,71352,436,0.377806286
191,0,0,9,2,0,1,1.009877144,71352,436,0.377806286
192,0,0,11,2,0,1,1.009877144,71352,436,0.377806286
193,1,0,1,1,1,1,1.0,1,1,1.0
194,0,0,60,2,1,0,1.009877144,71352,436,0.377806286
195,0,0,23,2,1,0,1.009877144,71352,436,0.377806286
196,0,1,35,1,0,1,1.009877144,71352,436,0.377806286
197,0,1,27,1,1,0,1.009877144,71352,436,0.377806286
198,1,1,40,1,0,1,1.009877144,71352,436,0.377806286
199,0,0,55,1,0,1,1.009877144,71352,436,0.377806286
200,0,1,28,1,0,1,1.009877144,71352,436,0.377806286
201,0,0,25,1,1,0,1.009877144,71352,436,0.377806286
202,1,0,40,2,1,0,1.009877144,71352,436,0.377806286
203,0,0,70,1,0,1,1.009877144,71352,436,0.377806286
204,0,0,50,1,1,0,1.009877144,71352,436,0.377806286
205,1,1,20,1,0,1,1.009877144,71352,436,0.377806286
206,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
207,0,0,50,1,0,1,1.009877144,71352,436,0.377806286
208,1,1,45,1,0,0,1.009877144,71352,436,0.377806286
209,0,1,50,1,0,1,1.009877144,71352,436,0.377806286
210,0,0,40,2,0,1,1.009877144,71352,436,0.377806286
211,0,1,60,1,1,0,1.009877144,71352,436,0.377806286
212,0,1,30,2,1,0,1.009877144,71352,436,0.377806286
213,1,0,1,1,1,1,1.0,1,1,1.0
214,0,0,30,2,1,1,1.009877144,71352,436,0.377806286
215,0,0,55,1,0,1,1.009877144,71352,436,0.377806286
