,durationofstop,raceperceivedpriortostop,gender,perceivedage,tract_medianincome,tract_totalpop,tract_whitepop,tract_nonwhitecomp,tract_poccomp,tract_nonwhitepop,tract_pocpop,tract_aapop,tract_na_aipop,tract_aisianpop,tract_hawaiian,tract_mixed2,tract_totalnumstops,tract_annualstops,tract_distancefromcal,black,white,asian,hispanic,bipoc,report_risk_groups,arrest,trafficstop,longstop
40,25,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
41,5,0,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
42,5,0,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
43,10,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
44,4,0,2,48,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
45,20,0,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
46,20,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
47,10,0,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
48,30,1,1,35,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
49,17,1,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
50,20,0,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
51,35,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,1
52,10,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
53,60,0,1,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,1,1
54,60,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
55,5,0,1,23,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
56,5,0,1,22,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
57,8,0,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
58,61,1,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
60,9,1,2,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
61,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
62,40,0,1,26,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
63,40,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
64,10,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
65,15,0,2,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
66,30,1,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
67,10,0,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
68,15,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
69,7,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
70,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
71,6,0,1,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
72,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
73,14,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
74,6,1,2,25,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,1,0
75,20,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
76,4,0,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
77,15,0,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
78,10,0,2,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
79,20,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
80,5,0,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,0
81,15,0,2,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,1,0
82,10,0,2,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
83,2,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
84,13,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
85,60,0,1,20,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
86,60,0,2,19,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
87,5,1,1,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
88,30,1,1,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,1,0,1
89,30,0,1,65,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,1,1
90,30,1,2,50,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
91,30,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
92,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
93,60,1,1,55,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,1,0,1
94,7,1,1,45,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,0,1,1,1,0,0,0
95,10,0,2,30,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,0,1,0,1,0,0,1,0
96,10,0,1,40,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,0,1,0,0,0,0,0,0,0
97,15,0,2,38,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,0
98,35,1,1,60,71352,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,3486,436,1.009877144,1,0,0,0,1,1,0,0,1
99,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,0,0,0,0,1,1,1,1,0
