"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","918","","80.9%","0.5%","0.7%","14.7%","0.0%","0.2%","2.9%","5.0%","77.7%","","0.5%","26.1%","42.4%","30.9%","","507","43.8%","56.2%","88.0%","37.1%","7.3%","4.1%","4.7%","2.6%","","52.1%","27.6%","15.0%","3.4%","2.0%","0.0%","","21.1%","27.0%","46.2%","5.7%","","411","60.8%","39.2%","21.7%","39.2%","30.9%","8.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","151,393","","151,089","-","-","154,792","-","-","238,750","139,167","151,268","","-","154,695","151,875","138,704","","169,962","184,643","167,546","178,000","208,750","96,250","-","134,038","-","","147,727","221,250","203,750","-","-","-","","138,843","195,694","186,667","154,792","","109,911","70,625","45,673","153,536","150,589","150,411","250,000+"
"Census Tract 4219, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,700","","1,188","136","5","239","0","31","101","115","1,085","","8","543","732","417","","1,090","499","591","918","417","166","82","6","0","","494","208","298","90","0","0","","111","234","588","157","","610","320","252","68","290","209","81"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,700","","69.9%","8.0%","0.3%","14.1%","0.0%","1.8%","5.9%","6.8%","63.8%","","0.5%","31.9%","43.1%","24.5%","","1,090","45.8%","54.2%","84.2%","38.3%","15.2%","7.5%","0.6%","0.0%","","45.3%","19.1%","27.3%","8.3%","0.0%","0.0%","","10.2%","21.5%","53.9%","14.4%","","610","52.5%","41.3%","11.1%","47.5%","34.3%","13.3%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","115,583","","119,250","90,641","-","120,913","-","-","150,125","115,060","126,106","","-","151,625","108,000","71,250","","143,547","226,964","122,083","165,486","239,531","92,446","114,405","-","-","","127,283","120,673","250,000+","-","-","-","","116,964","120,192","169,091","-","","64,674","63,824","45,652","146,071","70,625","47,452","117,361"
"Census Tract 4220, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,041","","681","44","0","160","0","22","134","82","660","","36","457","320","228","","483","170","313","322","96","151","74","10","0","","341","90","31","10","11","0","","23","173","282","5","","558","357","274","83","201","159","42"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,041","","65.4%","4.2%","0.0%","15.4%","0.0%","2.1%","12.9%","7.9%","63.4%","","3.5%","43.9%","30.7%","21.9%","","483","35.2%","64.8%","66.7%","19.9%","31.3%","15.3%","2.1%","0.0%","","70.6%","18.6%","6.4%","2.1%","2.3%","0.0%","","4.8%","35.8%","58.4%","1.0%","","558","64.0%","49.1%","14.9%","36.0%","28.5%","7.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","125,218","","125,567","40,694","-","163,167","-","-","55,521","-","125,727","","68,816","149,663","94,219","125,762","","118,068","81,250","163,693","168,625","104,333","83,672","76,667","-","-","","144,028","76,979","250,000+","-","-","-","","82,292","76,406","168,750","-","","125,648","125,633","113,750","203,162","125,938","105,750","166,667"
"Census Tract 4221, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,279","","810","127","0","155","0","96","91","161","780","","50","356","436","437","","748","360","388","456","198","143","63","149","99","","359","163","161","40","6","19","","62","196","454","36","","531","336","254","82","195","158","37"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,279","","63.3%","9.9%","0.0%","12.1%","0.0%","7.5%","7.1%","12.6%","61.0%","","3.9%","27.8%","34.1%","34.2%","","748","48.1%","51.9%","61.0%","26.5%","19.1%","8.4%","19.9%","13.2%","","48.0%","21.8%","21.5%","5.3%","0.8%","2.5%","","8.3%","26.2%","60.7%","4.8%","","531","63.3%","47.8%","15.4%","36.7%","29.8%","7.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","98,083","","103,264","-","-","108,542","-","-","139,583","101,528","104,306","","133,409","134,667","94,423","-","","98,333","138,690","89,939","140,833","213,750","87,723","-","-","-","","78,906","179,659","141,042","-","-","-","","-","51,100","139,881","-","","62,159","-","-","133,333","61,705","56,813","132,898"
"Census Tract 4222, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,431","","1,123","34","0","151","1","0","122","199","986","","34","711","355","331","","705","349","356","562","263","73","45","70","41","","337","194","60","102","12","0","","50","274","347","34","","726","349","268","81","377","315","62"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,431","","78.5%","2.4%","0.0%","10.6%","0.1%","0.0%","8.5%","13.9%","68.9%","","2.4%","49.7%","24.8%","23.1%","","705","49.5%","50.5%","79.7%","37.3%","10.4%","6.4%","9.9%","5.8%","","47.8%","27.5%","8.5%","14.5%","1.7%","0.0%","","7.1%","38.9%","49.2%","4.8%","","726","48.1%","36.9%","11.2%","51.9%","43.4%","8.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","93,432","","94,904","96,250","-","93,185","-","-","-","-","94,038","","-","93,363","111,205","61,295","","123,942","145,972","121,750","145,926","147,361","111,741","110,491","-","149,063","","119,188","161,042","240,938","81,500","-","-","","118,864","82,088","162,396","170,625","","56,585","44,917","47,955","-","71,250","-","-"
"Census Tract 4223, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,652","","1,188","91","3","291","0","19","60","64","1,153","","113","640","434","465","","782","253","529","646","212","120","25","16","16","","456","164","116","21","25","0","","146","167","462","7","","870","477","356","121","393","263","130"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,652","","71.9%","5.5%","0.2%","17.6%","0.0%","1.2%","3.6%","3.9%","69.8%","","6.8%","38.7%","26.3%","28.1%","","782","32.4%","67.6%","82.6%","27.1%","15.3%","3.2%","2.0%","2.0%","","58.3%","21.0%","14.8%","2.7%","3.2%","0.0%","","18.7%","21.4%","59.1%","0.9%","","870","54.8%","40.9%","13.9%","45.2%","30.2%","14.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","83,214","","92,273","-","-","77,621","-","106,250","-","-","97,917","","-","92,500","104,519","72,156","","153,456","199,375","127,560","163,750","205,000","71,500","-","-","-","","140,417","147,083","202,727","-","-","-","","127,738","78,347","176,413","-","","50,885","50,339","40,608","-","58,750","-","85,288"
"Census Tract 4224, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,936","","1,063","39","0","602","0","111","121","245","913","","395","790","395","356","","616","105","511","538","88","33","0","45","17","","428","15","88","85","0","0","","123","196","206","91","","1,320","643","271","372","677","365","312"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,936","","54.9%","2.0%","0.0%","31.1%","0.0%","5.7%","6.3%","12.7%","47.2%","","20.4%","40.8%","20.4%","18.4%","","616","17.0%","83.0%","87.3%","14.3%","5.4%","0.0%","7.3%","2.8%","","69.5%","2.4%","14.3%","13.8%","0.0%","0.0%","","20.0%","31.8%","33.4%","14.8%","","1,320","48.7%","20.5%","28.2%","51.3%","27.7%","23.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","62,184","","72,798","-","-","43,667","-","-","51,659","61,832","73,750","","21,625","107,917","64,707","49,500","","71,964","-","75,260","-","-","-","-","79,018","-","","64,894","-","-","-","-","-","","-","62,979","135,667","250,000+","","51,331","70,950","-","77,250","47,227","41,197","69,219"
"Census Tract 4225, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,656","","913","61","88","488","9","0","97","113","873","","315","581","551","209","","497","118","379","354","96","59","13","84","9","","328","118","46","5","0","0","","99","139","195","64","","1,159","386","225","161","773","578","195"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,656","","55.1%","3.7%","5.3%","29.5%","0.5%","0.0%","5.9%","6.8%","52.7%","","19.0%","35.1%","33.3%","12.6%","","497","23.7%","76.3%","71.2%","19.3%","11.9%","2.6%","16.9%","1.8%","","66.0%","23.7%","9.3%","1.0%","0.0%","0.0%","","19.9%","28.0%","39.2%","12.9%","","1,159","33.3%","19.4%","13.9%","66.7%","49.9%","16.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,917","","41,726","8,966","-","52,778","-","-","-","90,293","44,107","","26,338","64,148","-","98,385","","103,309","106,250","99,635","138,333","103,056","-","-","91,211","-","","133,438","91,133","250,000+","-","-","-","","97,969","104,531","142,026","-","","34,043","43,929","36,250","49,306","33,630","33,397","65,694"
"Census Tract 4227, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,005","","573","20","46","266","0","19","81","79","541","","376","369","151","109","","146","19","127","121","19","4","0","21","0","","107","11","28","0","0","0","","18","47","72","9","","859","287","81","206","572","341","231"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,005","","57.0%","2.0%","4.6%","26.5%","0.0%","1.9%","8.1%","7.9%","53.8%","","37.4%","36.7%","15.0%","10.8%","","146","13.0%","87.0%","82.9%","13.0%","2.7%","0.0%","14.4%","0.0%","","73.3%","7.5%","19.2%","0.0%","0.0%","0.0%","","12.3%","32.2%","49.3%","6.2%","","859","33.4%","9.4%","24.0%","66.6%","39.7%","26.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,125","","49,596","-","-","48,438","-","-","-","-","49,669","","-","-","-","156,932","","156,136","-","153,750","154,028","-","-","-","-","-","","-","-","159,286","-","-","-","","-","-","174,079","-","","33,144","32,813","-","-","33,333","-","49,471"
"Census Tract 4228, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,345","","435","39","4","738","4","61","64","131","405","","721","534","33","57","","41","0","41","13","0","28","0","0","0","","20","21","0","0","0","0","","4","28","9","0","","1,304","764","305","459","540","381","159"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,345","","32.3%","2.9%","0.3%","54.9%","0.3%","4.5%","4.8%","9.7%","30.1%","","53.6%","39.7%","2.5%","4.2%","","41","0.0%","100.0%","31.7%","0.0%","68.3%","0.0%","0.0%","0.0%","","48.8%","51.2%","0.0%","0.0%","0.0%","0.0%","","9.8%","68.3%","22.0%","0.0%","","1,304","58.6%","23.4%","35.2%","41.4%","29.2%","12.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,579","","26,250","-","-","-","-","-","46,000","26,250","22,452","","11,420","34,527","-","26,094","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","20,610","19,500","34,491","9,659","23,676","16,815","48,015"
"Census Tract 4229.01, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","985","","360","0","0","509","57","0","59","17","343","","328","438","103","116","","338","32","306","248","32","50","0","40","0","","278","36","24","0","0","0","","0","143","163","32","","647","332","131","201","315","172","143"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","985","","36.5%","0.0%","0.0%","51.7%","5.8%","0.0%","6.0%","1.7%","34.8%","","33.3%","44.5%","10.5%","11.8%","","338","9.5%","90.5%","73.4%","9.5%","14.8%","0.0%","11.8%","0.0%","","82.2%","10.7%","7.1%","0.0%","0.0%","0.0%","","0.0%","42.3%","48.2%","9.5%","","647","51.3%","20.2%","31.1%","48.7%","26.6%","22.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,933","","56,875","-","-","47,868","-","-","-","-","70,264","","19,022","-","-","70,577","","62,312","-","62,258","70,481","-","-","-","-","-","","61,882","-","-","-","-","-","","-","61,525","-","-","","30,250","23,214","31,917","-","-","25,547","108,417"
"Census Tract 4229.02, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,413","","563","190","0","323","0","207","130","46","517","","313","761","327","12","","372","236","136","134","100","195","136","43","0","","217","140","15","0","0","0","","77","214","66","15","","1,041","424","248","176","617","421","196"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,413","","39.8%","13.4%","0.0%","22.9%","0.0%","14.6%","9.2%","3.3%","36.6%","","22.2%","53.9%","23.1%","0.8%","","372","63.4%","36.6%","36.0%","26.9%","52.4%","36.6%","11.6%","0.0%","","58.3%","37.6%","4.0%","0.0%","0.0%","0.0%","","20.7%","57.5%","17.7%","4.0%","","1,041","40.7%","23.8%","16.9%","59.3%","40.4%","18.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,012","","-","-","-","20,181","-","-","28,402","-","-","","-","55,489","31,384","-","","-","-","-","107,991","-","28,338","-","-","-","","28,621","74,125","-","-","-","-","","23,301","-","-","-","","30,808","30,304","30,286","-","-","-","-"
"Census Tract 4230, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,979","","1,246","167","0","377","0","53","136","186","1,234","","115","766","734","364","","929","375","554","705","213","208","162","16","0","","582","171","151","25","0","0","","104","361","353","111","","1,050","502","349","153","548","178","370"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,979","","63.0%","8.4%","0.0%","19.1%","0.0%","2.7%","6.9%","9.4%","62.4%","","5.8%","38.7%","37.1%","18.4%","","929","40.4%","59.6%","75.9%","22.9%","22.4%","17.4%","1.7%","0.0%","","62.6%","18.4%","16.3%","2.7%","0.0%","0.0%","","11.2%","38.9%","38.0%","11.9%","","1,050","47.8%","33.2%","14.6%","52.2%","17.0%","35.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,549","","83,060","-","-","-","-","-","72,222","53,013","82,880","","-","93,629","-","62,296","","110,994","111,960","-","142,534","170,104","52,500","-","-","-","","81,613","-","143,615","250,000+","-","-","","81,694","73,583","171,979","-","","67,786","59,722","44,196","132,232","68,500","30,962","-"
"Census Tract 4231, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,011","","999","563","22","308","8","9","102","93","960","","51","637","713","610","","958","380","578","529","257","394","97","35","26","","359","400","191","0","8","0","","164","418","323","53","","1,053","511","391","120","542","427","115"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,011","","49.7%","28.0%","1.1%","15.3%","0.4%","0.4%","5.1%","4.6%","47.7%","","2.5%","31.7%","35.5%","30.3%","","958","39.7%","60.3%","55.2%","26.8%","41.1%","10.1%","3.7%","2.7%","","37.5%","41.8%","19.9%","0.0%","0.8%","0.0%","","17.1%","43.6%","33.7%","5.5%","","1,053","48.5%","37.1%","11.4%","51.5%","40.6%","10.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,057","","104,917","29,775","-","71,210","-","-","74,554","52,361","108,750","","-","103,640","90,464","32,838","","65,714","131,071","33,618","138,281","163,750","29,006","-","-","-","","42,625","-","-","-","-","-","","25,227","-","146,458","-","","72,545","70,282","46,484","82,000","88,750","68,938","151,797"
"Census Tract 4232, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,123","","567","272","8","91","20","129","36","223","490","","112","398","413","200","","606","283","323","322","142","198","97","86","44","","202","246","95","37","0","26","","69","166","318","53","","517","199","137","62","318","222","96"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,123","","50.5%","24.2%","0.7%","8.1%","1.8%","11.5%","3.2%","19.9%","43.6%","","10.0%","35.4%","36.8%","17.8%","","606","46.7%","53.3%","53.1%","23.4%","32.7%","16.0%","14.2%","7.3%","","33.3%","40.6%","15.7%","6.1%","0.0%","4.3%","","11.4%","27.4%","52.5%","8.7%","","517","38.5%","26.5%","12.0%","61.5%","42.9%","18.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,063","","105,893","36,250","-","-","-","58,894","-","68,098","102,396","","-","67,500","107,054","77,222","","118,333","58,413","133,075","129,167","153,553","-","-","-","-","","95,556","133,950","-","-","-","-","","-","46,458","133,850","250,000+","","53,375","54,875","37,969","107,500","-","-","104,643"
"Census Tract 4233, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,427","","807","376","18","82","0","35","109","108","749","","0","454","544","429","","760","399","361","612","309","118","67","30","23","","312","205","178","0","29","36","","119","218","311","112","","667","357","247","110","310","225","85"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,427","","56.6%","26.3%","1.3%","5.7%","0.0%","2.5%","7.6%","7.6%","52.5%","","0.0%","31.8%","38.1%","30.1%","","760","52.5%","47.5%","80.5%","40.7%","15.5%","8.8%","3.9%","3.0%","","41.1%","27.0%","23.4%","0.0%","3.8%","4.7%","","15.7%","28.7%","40.9%","14.7%","","667","53.5%","37.0%","16.5%","46.5%","33.7%","12.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","85,156","","146,435","28,571","-","140,156","-","-","-","-","145,972","","-","122,604","107,813","39,236","","147,315","151,027","140,724","159,397","158,984","52,639","-","-","-","","136,905","159,297","166,300","-","-","-","","-","113,438","164,688","159,427","","32,841","24,688","23,381","64,483","62,560","38,681","-"
"Census Tract 4234, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,127","","1,194","371","0","320","0","112","130","200","1,149","","141","749","667","570","","987","415","572","710","338","188","77","89","0","","444","177","289","22","10","45","","113","179","576","119","","1,140","616","435","181","524","346","178"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,127","","56.1%","17.4%","0.0%","15.0%","0.0%","5.3%","6.1%","9.4%","54.0%","","6.6%","35.2%","31.4%","26.8%","","987","42.0%","58.0%","71.9%","34.2%","19.0%","7.8%","9.0%","0.0%","","45.0%","17.9%","29.3%","2.2%","1.0%","4.6%","","11.4%","18.1%","58.4%","12.1%","","1,140","54.0%","38.2%","15.9%","46.0%","30.4%","15.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,862","","99,245","-","-","-","-","69,444","-","69,786","98,750","","72,031","134,063","95,268","-","","115,404","173,417","97,877","156,333","192,692","-","-","-","-","","102,845","161,343","92,188","-","-","-","","-","-","134,196","230,917","","46,379","-","25,959","152,950","54,773","-","223,247"
"Census Tract 4235, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,444","","818","235","11","159","0","30","191","153","786","","97","514","433","400","","661","247","414","433","140","203","107","25","0","","339","205","86","31","0","0","","51","241","315","54","","783","396","279","117","387","253","134"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,444","","56.6%","16.3%","0.8%","11.0%","0.0%","2.1%","13.2%","10.6%","54.4%","","6.7%","35.6%","30.0%","27.7%","","661","37.4%","62.6%","65.5%","21.2%","30.7%","16.2%","3.8%","0.0%","","51.3%","31.0%","13.0%","4.7%","0.0%","0.0%","","7.7%","36.5%","47.7%","8.2%","","783","50.6%","35.6%","14.9%","49.4%","32.3%","17.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,352","","78,833","29,922","-","-","-","-","-","75,625","78,333","","30,398","108,750","78,836","21,548","","79,779","-","77,386","162,829","250,000+","70,024","70,118","-","-","","77,284","75,917","250,000+","-","-","-","","-","70,307","193,977","250,000+","","29,776","28,590","16,607","153,245","-","-","81,818"
"Census Tract 4236.01, Alameda County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
