	(1)	(2)	(3)
VARIABLES	arrest	arrest	arrest
			
arrest	.	.	.
	(.)	(.)	(.)
black	1.509***	1.404***	1.160*
	(0.099)	(0.094)	(0.087)
far		0.782**	0.814*
		(0.066)	(0.077)
raceperceived		2.961***	1.548***
		(0.203)	(0.123)
longstop			8.656***
			(0.685)
reason			2.266***
			(0.122)
Constant	0.134***	0.082***	0.010***
	(0.006)	(0.005)	(0.001)
			
Observations	8,085	8,085	8,085
seEform in parentheses			
*** p<0.001, ** p<0.01, * p<0.05			
